ID,Designation,Class,Operator,Status,Name,Launch,Frequency,Notes
21576,OC-X,OC-X,Orbcomm,Inactive,Orbcomm-X,17/07/1991,,Capability Demonstration Satellite; aka Datacomm-X; early loss of communication
22489,OC-CDS1,OC-S,Orbcomm,Inactive,Orbcomm CDS-1,09/02/1993,,Capability Demonstration Satellite; aka OXP; no longer operational
22639,OC-CDS2,OC-S,Orbcomm,Inactive,Orbcomm CDS-2,25/04/1993,,Capability Demonstration Satellite; aka VSUME; no longer operational
23545,OC-F1,OC-F,Orbcomm,Inactive,Orbcomm FM1,03/04/1995,,First generation (Orbcomm-OG1); no longer operational
23546,OC-F2,OC-F,Orbcomm,Inactive,Orbcomm FM2,03/04/1995,,First generation (Orbcomm-OG1); no longer operational
25158,OC-G1,OC-G,Orbcomm,Inactive,Orbcomm FM3,10/02/1998,,First generation (Orbcomm-OG1); no longer operational
25159,OC-G2,OC-G,Orbcomm,Active,Orbcomm FM4,10/02/1998,137.6875 137.6780,First generation (Orbcomm-OG1)
25117,OC-A1,OC-A,Orbcomm,Active,Orbcomm FM5,23/12/1997,137.7175,First generation (Orbcomm-OG1)
25118,OC-A2,OC-A,Orbcomm,Active,Orbcomm FM6,23/12/1997,137.2250 137.7175,First generation (Orbcomm-OG1)
25119,OC-A3,OC-A,Orbcomm,Active,Orbcomm FM7,23/12/1997,137.4350 137.6625,First generation (Orbcomm-OG1)
25112,OC-A4,OC-A,Orbcomm,Active,Orbcomm FM8,23/12/1997,137.4600 137.6625,First generation (Orbcomm-OG1)
25116,OC-A5,OC-A,Orbcomm,Active,Orbcomm FM9,23/12/1997,137.3125 137.6875 137.7175,First generation (Orbcomm-OG1)
25113,OC-A6,OC-A,Orbcomm,Active,Orbcomm FM10,23/12/1997,137.7175 137.7375,First generation (Orbcomm-OG1)
25114,OC-A7,OC-A,Orbcomm,Active,Orbcomm FM11,23/12/1997,137.7175 137.8000,First generation (Orbcomm-OG1)
25115,OC-A8,OC-A,Orbcomm,Active,Orbcomm FM12,23/12/1997,137.2875 137.6625,First generation (Orbcomm-OG1)
25420,OC-B1,OC-B,Orbcomm,Active,Orbcomm FM13,02/08/1998,137.8,First generation (Orbcomm-OG1)
